Freq (Hz),Position en mm,Vitesse en m/s,Ecart type en m/s,Position réelle dans la conduite
3441,1,"0,01456","0,0031","1,361779392"
5500,"4,98","0,02327","0,003453","6,781661371"
6114,"10,01","0,02587","0,003314","13,63141171"
6567,"15,02","0,02779","0,003048","20,45392646"
"6313,78","20,02","0,02671","0,00282","27,26282342"
"6111,29","24,98","0,02586","0,003298","34,01724921"
6064,30,"0,02566","0,003104","40,85338175"
5149,"35,02","0,02179","0,003016","47,6895143"
"3318,42","40,02","0,01404","0,002031","54,49841126"
,,,"Débit mesuré 3,00L/min",