,Freq (Hz),Position en mm,Vitesse en m/s,Ecart type en m/s,Position réelle dans la conduite,,,Freq (Hz),Position en mm,Vitesse en m/s,Ecart type en m/s,Position réelle dans la conduite
,8030,0,"0,03398","0,01219",0,,,,,,,
,"16713,2",5,"0,07071","0,014117","6,902899218",,,,,,,
,"17996,6","9,98","0,07695","0,007979","13,77818684",,,,,,,
,17611,"15,01","0,07444","0,013","20,72250345",,,,,,,
,17263,"20,02","0,07306","0,007911","27,63920847",,,,,,,
,"17514,4","24,99","0,07368","0,008696","34,50069029",,,,,,,
,"15815,1","29,96","0,06691","0,009805","41,36217211",,,,,,,
,"14538,4","35,02","0,06151","0,01173","48,34790612",,,,,,,
,12117,"39,99","0,05127","0,01535","55,20938794",,,,,,,
"Interfrange en µm 4,231",,"Fin des mesures à 43,46",,"Débit mesuré 9,36L/min",,,,,,,,